"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3668","“If Hillary Clinton can’t satisfy her husband what makes her think she can satisfy America.” -Donald Trump #POTUS… https://t.co/LwWTZKV8PZ",FALSE,0,NA,2020-12-04 18:12:05,TRUE,NA,"1334923446229331973",NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Quote Reader</a>","Donald_Trump_Q",0,FALSE,FALSE,NA,NA
"3669","RT @SocialPowerOne1: Trump threatens to hold military pay hostage unless he can punish Twitter https://t.co/xFaBMNM7fu #National #DonaldTru…",FALSE,0,NA,2020-12-04 18:11:15,FALSE,NA,"1334923233792024577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mimichard417",14,TRUE,FALSE,NA,NA
"3670","Come on #DiperDon #babydonny #POTUS45 #DonaldTrump #PresidentTrump Get a grip you screaming meme! Can you not get i… https://t.co/7k4FYjjxwc",FALSE,0,NA,2020-12-04 18:11:07,TRUE,NA,"1334923199793033217",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Johnlumb67",0,FALSE,FALSE,NA,NA
"3671","RT @docuterror: I’ve just published post 17 on my observations on the Biden Betrayal of Democracy. It’s with video link and on my site at h…",FALSE,0,NA,2020-12-04 18:10:22,FALSE,NA,"1334923014165696513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suemitch2017",1,TRUE,FALSE,NA,NA
"3672","@thehill .@thehill 
Imagine the fools dumb enough to give money to a loser who could not save another loser… https://t.co/O3AFSeVLdd",FALSE,0,"thehill",2020-12-04 18:10:09,TRUE,"1334919156186157057","1334922956460478465","1917731","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","trumpdumpcare",0,FALSE,FALSE,NA,NA
"3673","Mitch mcconell should trade places with me for a month @mitchmcconnell worrying how to feed my 3 children I've had… https://t.co/WnjIoAent1",FALSE,0,NA,2020-12-04 18:09:36,TRUE,NA,"1334922819776471041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","direneedofhelp",0,FALSE,FALSE,NA,NA
"3674","RT @RickeySmiley: #JoeBiden needs to tell #DonaldTrump: ""I think ya better call #Tyrone (call him) And tell him come on, help you get your…",FALSE,0,NA,2020-12-04 18:08:03,FALSE,NA,"1334922429681070084",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PurpleMayBaby71",85,TRUE,FALSE,NA,NA
"3675","@BBCWorld Are these for his various debts that are coming due? Just asking.
#TrumpFailedAmerica #DonaldTrump",FALSE,0,"BBCWorld",2020-12-04 18:07:29,FALSE,"1334919389720801281","1334922287540277248","742143","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","savage1250",0,FALSE,FALSE,NA,NA
"3676","While #DonaldTrump is selling oil and gas leases in the #arctic before he’s done doing president. #environment… https://t.co/G4ekhs59v2",FALSE,0,NA,2020-12-04 18:07:12,TRUE,NA,"1334922216014745601",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CometsMum",0,FALSE,FALSE,NA,NA
"3677","Are you looking for a logo designer ? So you can link https://t.co/j6S7hvNffO
#Logo  #LogoDesign #businesscards… https://t.co/xT6hjwle6a",FALSE,1,NA,2020-12-04 18:05:34,TRUE,NA,"1334921804436017157",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AJhon92",0,FALSE,FALSE,NA,NA
